gameId,gameDate,homeTeam,awayTeam,homeFOW,awayFOW,homePPF,awayPPF
2023020893,2024-02-22,PIT,MTL,0.518519,0.481481,2,3
2022020545,2022-12-23,VGK,STL,0.543478,0.456522,2,3
2024020478,2024-12-14,OTT,PIT,0.46,0.54,2,0
2023021146,2024-03-26,SEA,ANA,0.627451,0.372549,5,1
2021020083,2021-10-25,BUF,TBL,0.54902,0.45098,1,2
2021020350,2021-12-01,EDM,PIT,0.482759,0.517241,3,3
2021020355,2021-12-02,NYI,SJS,0.553191,0.446809,0,3
2022020318,2022-11-25,BOS,CAR,0.571429,0.428571,6,6
2021021160,2022-04-10,CHI,DAL,0.473684,0.526316,2,2
2020020406,2021-03-09,CBJ,FLA,0.403846,0.596154,3,4
2022020929,2023-02-23,SJS,NSH,0.534483,0.465517,5,3
2022021138,2023-03-23,CAR,NYR,0.592593,0.407407,3,3
2021021263,2022-02-15,NYR,BOS,0.547619,0.452381,1,1
2021030123,2022-05-06,TBL,TOR,0.491803,0.508197,3,5
2022020304,2022-11-23,FLA,BOS,0.412698,0.587302,7,6
2024021092,2025-03-20,WSH,PHI,0.5,0.5,1,2
2021021137,2022-04-08,TBL,BOS,0.517857,0.482143,5,3
2025020201,2025-11-03,NSH,VAN,0.552239,0.447761,4,3
2023020037,2023-10-16,NYR,ARI,0.458333,0.541667,3,5
2024021151,2025-03-27,SEA,EDM,0.567164,0.432836,4,4
2021020214,2021-11-13,TBL,FLA,0.455882,0.544118,1,1
2025020253,2025-11-10,NYR,NSH,0.507937,0.492063,2,4
2022020109,2022-10-26,STL,EDM,0.433333,0.566667,3,2
2023020554,2023-12-29,SEA,PHI,0.6,0.4,2,3
2024020707,2025-01-16,TOR,NJD,0.521739,0.478261,2,3
2022020746,2023-01-22,NJD,PIT,0.52,0.48,2,2
2023030172,2024-04-23,VAN,NSH,0.58,0.42,4,4
2022021300,2023-04-13,TBL,DET,0.641509,0.358491,2,2
2023021280,2024-04-13,EDM,VAN,0.464286,0.535714,2,2
2024020294,2024-11-19,OTT,EDM,0.516667,0.483333,2,3
2023021049,2024-03-14,MTL,BOS,0.5,0.5,3,4
